text,label
 As a woman you shouldn't complain about cleaning up your house. and as a man you should always take the trash out...,Not Offensive
boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place,Offensive
 You ever fuck a bitch and she start to cry? You be confused as shit,Offensive
 she look like a tranny,Offensive
The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,Offensive
The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ,Offensive
"I can not just sit up and HATE on another bitch .. I got too much shit going on!""",Offensive
 cause I'm tired of you big bitches coming for us skinny girls!!,Offensive
 you might not get ya bitch back ; thats that ,Offensive
bitch,Offensive
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",Offensive
""" Murda Gang bitch its Gang Land """,Offensive
""" So hoes that smoke are losers ? "" yea ... go on IG",Offensive
""" bad bitches is the only thing that i like """,Offensive
""" bitch get up off me """,Offensive
""" bitch nigga miss me with it """,Offensive
""" bitch plz whatever """,Offensive
""" bitch who do you love """,Offensive
""" bitches get cut off everyday B """,Offensive
""" black bottle &amp; a bad bitch """,Offensive
""" broke bitch cant tell me nothing """,Offensive
""" cancel that bitch like Nino """,Offensive
""" cant you see these hoes wont change """,Offensive
fuck no that bitch dont even suck dick,Offensive
""" got ya bitch tip toeing on my hardwood floors",Offensive
""" her pussy lips like Heaven doors """,Offensive
""" hoe what its hitting for """,Offensive
""" i met that pussy on Ocean Dr . i gave that pussy a pill """,Offensive
""" i need a trippy bitch who fuck on Hennessy """,Offensive
""" i spend my money how i want bitch its my business """,Offensive
""" i txt my old bitch my new bitch pussy wetter """,Offensive
""" i'd say im back to the old me but my old bitches would get excited """,Offensive
""" if you aint bout that Murder Game pussy nigga shut up """,Offensive
""" if you're toes ain't done you pussy stinks """,Offensive
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,Offensive
""" is that ya bitch """,Offensive
""" it aint nothing to cut a bitch off """,Offensive
""" jus meet son now he ya mane ass bitches """,Offensive
""" lames crying over hoes thats tears of a clown """,Offensive
""" like Snoop said in 94 we dont love these hoes """,Offensive
""" momma said no pussy cats inside my doghouse """,Offensive
""" most hated but the hoes favorite """,Offensive
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" ",Offensive
""" pimps up pimps up hoes down "" Future voice",Offensive
""" post a picture of that pussy get 200 likes """,Offensive
""" pussy is a powerful drug "" ",Offensive
""" quick piece of pussy call it a drive by """,Offensive
""" running round here like some brand new pussy thats bout to get fucked """,Offensive
""" these bitches even worst they'll send them guys for you """,Offensive
""" these hoes like niggas that spend money not talk bout it """,Offensive
""" we dont trust these niggas all these bitches """,Offensive
"""I can't believe this! Such an idiot move.""",Offensive
"""The weather is quite nice today.""",Neutral
"""That was a fantastic presentation, well done!""",Not Offensive
"""You're a loser, go away!""",Offensive
"""Looking forward to the weekend!""",Neutral
"""Great job on the project, team!""",Not Offensive
"""This is the worst service ever, I hate it!""",Offensive
"""I'm going to the store to buy some groceries.""",Neutral
"""Congratulations on your promotion, you deserve it!""",Not Offensive
"""Get lost, nobody wants you here.""",Offensive
"""It's just another ordinary day.""",Neutral
"""Thank you for your help, I really appreciate it.""",Not Offensive
"""Your idea is stupid and makes no sense.""",Offensive
"""The meeting is scheduled for 3 PM tomorrow.""",Neutral
"""You did an amazing job with that report!""",Not Offensive
"""Shut up, nobody cares about your opinion.""",Offensive
"""I need to finish my homework tonight.""",Neutral
"""Happy birthday! Hope you have a wonderful day!""",Not Offensive
"""You're so annoying, just leave me alone.""",Offensive
"""I think it's going to rain later.""",Neutral
"""Well done on the presentation, it was excellent!""",Not Offensive
"""What a waste of time, this is so stupid.""",Offensive
"""I'll be heading out for a walk soon.""",Neutral
"""Your feedback was really helpful, thank you!""",Not Offensive
"""Stop acting like a fool!""",Offensive
"""I'm going to watch a movie tonight.""",Neutral
"""You are such a kind and generous person.""",Not Offensive
"""Nobody likes you, just disappear!""",Offensive
"""I need to check my emails.""",Neutral
"""You always brighten up my day.""",Not Offensive
"""That was a terrible idea, you're an idiot.""",Offensive
"""It's my mom's birthday today.""",Neutral
"""You have been a great friend to me.""",Not Offensive
"""Just shut up and go away.""",Offensive
"""The bus arrives at 8 AM.""",Neutral
"""Thank you for your kindness.""",Not Offensive
"""You're useless and nobody cares about you.""",Offensive
"""I need to buy a new laptop.""",Neutral
"""Your presentation was really impressive.""",Not Offensive
"""You're such a jerk.""",Offensive
"""I'll call you back later.""",Neutral
"""You have a wonderful sense of humor.""",Not Offensive
"""That was the dumbest thing I've ever heard.""",Offensive
"""I'm heading to the gym now.""",Neutral
"""Your hard work is really appreciated.""",Not Offensive
"""You look terrible today.""",Offensive
"""I'm planning to travel next month.""",Neutral
"""You did a fantastic job!""",Not Offensive
"""You're always so annoying.""",Offensive
"""I'll see you at the meeting.""",Neutral
"""Thank you for your support.""",Not Offensive
"""Get out of my sight, loser.""",Offensive
"""The train leaves at 6 PM.""",Neutral
"""You are an amazing person.""",Not Offensive
"""You're always messing things up.""",Offensive
"""I have a dentist appointment tomorrow.""",Neutral
"""You have a beautiful smile.""",Not Offensive
"""You're the worst colleague ever.""",Offensive
"""I need to finish this report by Monday.""",Neutral
"""You are always so thoughtful and considerate.""",Not Offensive
"""Just get lost, nobody needs you.""",Offensive
"""I'll meet you for lunch at noon.""",Neutral
"""You handled that situation very well.""",Not Offensive
"""You make me sick.""",Offensive
"""It's time for my morning coffee.""",Neutral
"""You are such a talented individual.""",Not Offensive
"""You're a total failure.""",Offensive
"""I'm reading a new book.""",Neutral
"""Your kindness is truly inspiring.""",Not Offensive
"""You have no idea what you're talking about, idiot.""",Offensive
"""I'm attending a workshop this weekend.""",Neutral
"""You are a joy to be around.""",Not Offensive
"""You're such a pain in the neck.""",Offensive
"""I'm learning a new language.""",Neutral
"""You are really good at this.""",Not Offensive
